Retail Branding,Marketing Name,Device,Model
Asus,ZenFone 6 (ZS630KL) (North America),,ASUS_I01WDX
Huawei,Honor V30 Pro,,OXF-AN10
Huawei,MatePad 10.4 (Wi-Fi only),,BAH3-W09
Huawei,MediaPad M6 Turbo 8.4,,VRD-AL09
Huawei,Nova 7 SE (International),,CDY-NX9B
Huawei,P40,Anna,ANA-AN00
Huawei,P40 (China),Anna,ANA-TN00
Huawei,P40 (Dual SIM),Anna,ANA-NX9
Huawei,P40 Lite (Dual SIM),,JNY-LX1
Huawei,P40 Pro 5G (Dual SIM),,ELS-AN00
Huawei,P40 Pro 5G (International),,ELS-NX9
Huawei,P40 Pro 5G (China),,ELS-TN00
Huawei,P40 Pro Plus 5G (International),,ELS-N39
Huawei,P Smart 2021,,PPA-LX2
Huawei,Y5P,,DRA-LX9
OnePlus,3T (North America),oneplus3t,ONEPLUS A3000
OnePlus,3T (Not NA or China),oneplus3t,ONEPLUS A3003
OnePlus,3T (China),oneplus3t,ONEPLUS A3010
OnePlus,7 (China),guacamoleb,GM1900
OnePlus,7 (India),guacamoleb,GM1901
OnePlus,7 (EU),guacamoleb,GM1903
OnePlus,7 Pro,,OnePlus 7 Pro
OnePlus,7 Pro (China / HK),guacamole,GM1910
OnePlus,7 Pro (India),guacamole,GM1911
OnePlus,7 Pro (EU),guacamole,GM1913
OnePlus,7 Pro (T-Mobile),guacamole,GM1915
OnePlus,7 Pro (North America),guacamole,GM1917
OnePlus,7 Pro 5G (EU),guacamole,GM1920
OnePlus,7 Pro 5G (Sprint),guacamole,GM1925
OnePlus,7T (China / HK),,HD1900
OnePlus,7T (India),,HD1901
OnePlus,7T (EU),,HD1903
OnePlus,7T (North America),,HD1905
OnePlus,7T (T-Mobile),,HD1907
OnePlus,7T Pro (China / HK),,HD1910
OnePlus,7T Pro (India),,HD1911
OnePlus,7T Pro (EU),,HD1913
OnePlus,7T Pro 5G (T-Mobile),,HD1925
OnePlus,8T (China),,KB2000
OnePlus,8T (EU),,KB2003
OnePlus,8T (International),,KB2005
OnePlus,8T (T-Mobile),,KB2007
OnePlus,8 Pro (China),,IN2020
OnePlus,9 Pro (China),,LE2120
OnePlus,9 Pro (EU),,LE2123
OnePlus,9 Pro (North America),,LE2125
OnePlus,Nord,,OnePlus Nord
OnePlus,Nord Dual 5G,,AC2001
Motorola,G5 Plus (International / Dual SIM),,XT1685
Motorola,G5 Plus (USA),,XT1687
Motorola,G5S Plus (Brazil),,XT1802
Motorola,G5S Plus (EU),,XT1803
Motorola,G5S Plus (India),,XT1804
Motorola,G5S Plus (EU / Dual SIM),,XT1805
Motorola,G5S Plus (USA),,XT1806
Samsung,Infuse 4G,,SGH-I997
Realme,Realme 7 (Asia),,RMX2151
Realme,Realme 7 (Global),,RMX2155
Realme,Realme C20,,RMX3063
Samsung,Galaxy S21 5G (USA carrier-locked),,SM-G991U
Samsung,Galaxy S21+ 5G (USA carrier-locked),,SM-G996U
Xiaomi,Poco F1 (India),,POCO F1
Xiaomi,Poco M3 Pro 5G,,M2103K19PG
Xiaomi,Pocofone F3 / Redmi K40,,M2012K11AG
Xiaomi,Redmi Note 9 / 10X 4G,,M2003J15SC
Xiaomi,Redmi Note 9T 5G,,M2007J22G
Xiaomi,Redmi Note 9T 5G,,M2007J22G
Xiaomi,Mi 11,,M2011K2G
